10.47	1.18	W-type
11.83	0.05	E-type
12.05	0.13	M-type
12.3	0.08	M-type
12.58	0.48	M-type
13.28	0.15	neutral
13.64	0.07	neutral
14.05	0.14	M-type
14.39	0.42	A-type
15.11	0.05	M-type
15.31	0.11	M-type
15.59	0.22	M-type
15.96	0.06	M-type
16.17	0.04	M-type.regr
16.25	0.12	M-type
16.54	0.29	M-type
17.04	0.34	M-type
17.63	0.08	neutral
17.88	0.18	M-type
18.41	0.12	obestämd
18.88	0.19	M-type
19.22	0.08	M-type
19.43	0.11	M-type
19.7	0.04	M-type
19.86	0.07	M-type.regr
20.03	0.12	M-type
20.31	0.09	M-type
20.65	0.81	M-type
21.65	0.06	M-type
21.95	0.15	M-type
22.26	0.11	W-type
22.5	0.24	W-type
26.74	0.44	B-type
27.65	0.44	B-type
32.46	0.19	B-type
33.02	0.36	B-type
33.54	0.12	M-type
33.83	0.07	neutral
33.98	0.08	M-type
34.24	0.05	M-type
34.51	0.08	M-type
34.74	0.08	M-type
35.11	0.75	M-type
36.19	1.5	neutral
37.89	0.165	M-type
38.095	0.045	M-type
41.62	0.07	M-type
41.81	0.18	M-type
42.14	0.12	M-type
42.35	0.03	M-type
42.5	0.21	M-type
56.13	0.04	M-type
56.27	0.05	M-type.regr
56.47	0.05	M-type
56.73	0.33	neutral
57.26	0.06	neutral
57.42	0.12	neutral
57.78	0.27	neutral
58.26	0.11	M-type
58.64	0.18	neutral
58.93	0.28	E-type
59.48	0.11	neutral
59.67	0.12	M-type
60.1	0.21	M-type
60.42	0.27	neutral
60.91	0.09	M-type
61.29	0.16	neutral
62.54	0.16	M-type
62.86	0.2	M-type
63.34	0.06	neutral
63.54	0.07	M-type
63.7	0.36	E-type
64.27	0.32	M-type
65.39	0.36	A-type
65.98	0.1	neutral
66.3	0.04	M-type.regr
66.46	0.25	M-type
66.86	0.09	M-type
67.21	0.14	E-type/A-type
67.41	0.05	M-type
67.48	0.07	M-type
67.57	0.07	M-type
67.82	0.45	A-type
68.38	0.12	A-type.progr
68.67	0.12	A-type.progr
70.72	0.3	B-type
71.28	0.39	B-type
85.65	0.09	B-type
87.18	0.44	B-type
89.966	0.28	B-type
90.49	0.35	B-type
92.29	0.1	M-type
92.43	0.03	M-type
92.73	0.32	M-type
93.26	0.09	neutral
93.65	0.85	M-type
94.95	0.11	M-type
95.15	0.06	M-type
95.5	0.2	neutral
95.91	0.27	W-type
96.44	0.22	M-type
97.13	0.22	neutral
97.49	0.12	M-type
