10.47	1.18	PU@g[G]
11.83	0.05	PI[AB]
12.05	0.13	LÄNGESEDAN[AB]
12.3	0.08	LITE[AB]
12.58	0.48	DÅLIG[JJ]
13.28	0.15	LÄNGESEDAN[AB]
13.64	0.07	SÅ-ATT-SÄGA[AB]
14.05	0.14	ORSAK[KN]
14.39	0.42	LÄNGESEDAN[AB]
15.11	0.05	TÄNKA[VB]
15.31	0.11	FAST(ml)[AB]
15.59	0.22	VAN@b[VBS]
15.96	0.06	VARA[VB]
16.17	0.04	BRUKA[VB]
16.25	0.12	STARTA[VB]
16.54	0.29	ELVA[RG]
17.04	0.34	LÖRDAG.FL[?]
17.63	0.08	ALLTID[AB]
17.88	0.18	LITE[AB]
18.41	0.12	PU@g[G]
18.88	0.19	MEN[KN]
19.22	0.08	NU@b[AB]
19.43	0.11	SISTA[JJ]
19.7	0.04	TID(L)[NN]
19.86	0.07	PRO1[PN]
20.03	0.12	KONTROLLERA[VB]
20.31	0.09	VARA[VB]
20.65	0.81	TECKEN^TORG[NN]
21.65	0.06	TYCKA[VB]
21.95	0.15	BRA[JJ]
22.26	0.11	PRO1[PN]
22.5	0.24	PU@g[G]
26.74	0.44	JA@ub[INTERJ]
27.65	0.44	STÄMMA[VB]
32.46	0.19	STÄMMA[VB]
33.02	0.36	nms
33.54	0.12	OCKSÅ[AB]
33.83	0.07	PRO1[PN]
33.98	0.08	PERF[VB]
34.24	0.05	BARN[NN]
34.51	0.08	BRUKA[VB]
34.74	0.08	SE[VB]
35.11	0.75	SAGA(ml)^TRÄD[NN]
36.19	1.5	PEK>person[PEK]
37.89	0.165	VARFÖR[AB]
38.095	0.045	INTE[AB]
41.62	0.07	VAD[PN]
41.81	0.18	ORSAK[KN]
42.14	0.12	SKRÄP[NN]
42.35	0.03	VAD[PN]
42.5	0.21	ORSAK[KN]
56.13	0.04	SAMMA[PN]
56.27	0.05	POSS1[PN]
56.47	0.05	BARN[NN]
56.73	0.33	SITTA(VVb)[VBAV]
57.26	0.06	PEK[PEK]
57.42	0.12	TITTA-PÅ[VB]
57.78	0.27	FÖRSTÅ-INTE[VB]
58.26	0.11	DIREKT[JJ]
58.64	0.18	VARELSE(VVb)+FÖRFLYTTA@p[VBAV]
58.93	0.28	BEGE-SIG-IVÄG[VB]
59.48	0.11	SÅ-ATT-SÄGA[AB]
59.67	0.12	ORSAK[KN]
60.1	0.21	SVÅR[JJ]
60.42	0.27	SÅ-ATT-SÄGA[AB]
60.91	0.09	MYCKET[AB]
61.29	0.16	SITTA(VVb)[VBAV]
61.65	0.76	SITTA(Vb)[VBAV]
62.54	0.16	PLUS[KN]
62.86	0.2	FÅGEL[NN]
63.34	0.06	KOMMA(L).HIT@z[VBAV]
63.54	0.07	UTANFÖR[PP]
