sslc01_222_s023_b.mp4	sslc01_222_s024_b.mp4
Artikulator_DH S1	sslc01_222/artikulator_dh_s1.tsv	778
Artikulator_DH S2	sslc01_222/artikulator_dh_s2.tsv	1109
Artikulator_NonDH S1	sslc01_222/artikulator_nondh_s1.tsv	164
Artikulator_NonDH S2	sslc01_222/artikulator_nondh_s2.tsv	13
Betydelse_DH S1	sslc01_222/betydelse_dh_s1.tsv	8
Betydelse_DH S2	sslc01_222/betydelse_dh_s2.tsv	12
Betydelse_NonDH S1	sslc01_222/betydelse_nondh_s1.tsv	2
Betydelse_NonDH S2	sslc01_222/betydelse_nondh_s2.tsv	1
Glosa_DH S1	sslc01_222/glosa_dh_s1.tsv	839
Glosa_DH S2	sslc01_222/glosa_dh_s2.tsv	1158
Glosa_DH_extra S1	sslc01_222/glosa_dh_extra_s1.tsv	1010
Glosa_DH_extra S2	sslc01_222/glosa_dh_extra_s2.tsv	1168
Glosa_DH_lemma S1	sslc01_222/glosa_dh_lemma_s1.tsv	28
Glosa_DH_lemma S2	sslc01_222/glosa_dh_lemma_s2.tsv	53
Glosa_DH_ref S1	sslc01_222/glosa_dh_ref_s1.tsv	23
Glosa_DH_ref S2	sslc01_222/glosa_dh_ref_s2.tsv	34
Glosa_NonDH S1	sslc01_222/glosa_nondh_s1.tsv	186
Glosa_NonDH S2	sslc01_222/glosa_nondh_s2.tsv	26
Glosa_NonDH_lemma S1	sslc01_222/glosa_nondh_lemma_s1.tsv	1
Glosa_NonDH_ref S1	sslc01_222/glosa_nondh_ref_s1.tsv	9
Kommentar_DH S1	sslc01_222/kommentar_dh_s1.tsv	20
Kommentar_DH S2	sslc01_222/kommentar_dh_s2.tsv	44
Kommentar_NonDH S1	sslc01_222/kommentar_nondh_s1.tsv	3
Kommentar_NonDH S2	sslc01_222/kommentar_nondh_s2.tsv	3
Kommentar_mun S1	sslc01_222/kommentar_mun_s1.tsv	21
Kommentar_mun S2	sslc01_222/kommentar_mun_s2.tsv	58
Munrörelse S1	sslc01_222/munrorelse_s1.tsv	22
Munrörelse S2	sslc01_222/munrorelse_s2.tsv	62
Översättning S1	sslc01_222/oversattning_s1.tsv	132
Översättning S2	sslc01_222/oversattning_s2.tsv	122
